Semana,Lunes,Martes,Miércoles,Jueves,Viernes,Mes,observación
VAC-1,29,30,31,1,2,January/December,Corresponde al periodo entre 2025 y 2026
VAC-2,5,6,7,8,9,January,Finaliza el 11 de enero de 2026
VAC-3,22,23,24,25,26,June,Primera semana de vacaciones de mitad de año
VAC-4,29,30,1,2,3,July/June,Segunda semana de vacaciones de mitad de año
VAC-5,7,8,9,10,11,December,Inicio de vacaciones de fin de año
VAC-6,14,15,16,17,18,December,Segunda semana de diciembre
VAC-7,21,22,23,24,25,December,Finaliza el 27 de diciembre de 2026
